BHID,PROYECTO,FECHA,HOLE_TYPE,COD_MES,DEPTH,XCOLLAR,YCOLLAR,ZCOLLAR,TIPO_COORD,LOC_CANAL,LEV_TOPO,SURVTYPE,IS_VALIDX,FAKE1,FAKE2
10103047516,MAND_OC_15,10/24/2015,8,201510,6.4,389361.863,8702250.445,3827.297,EJE,2,3,0,2,0,0
10103047547,MAND_OC_15,10/25/2015,8,201510,6.5,389413.164,8702309.019,3845.709,EJE,2,3,0,2,0,0
10103048183,MAND_OC_15,11/11/2015,8,201511,4.3,390076.033,8703097.037,4677.915,EJE,2,3,0,2,0,0
10103048423,MAND_OC_15,11/21/2015,8,201511,6.2,389477.047,8702399.102,3833.511,EJE,2,3,0,2,0,0
10103048945,MAND_OC_15,11/21/2015,8,201511,4.4,389633.078,8702581.37,4009.588,EJE,2,3,0,2,0,0
10103049086,MAND_OC_15,12/8/2015,8,201512,5.45,389340.801,8702222.342,3822.951,EJE,2,3,0,2,0,0
10103049180,MAND_OC_15,12/3/2015,8,201512,6.3,389275.992,8702123.618,3842.57,EJE,2,3,0,2,0,0
10103049273,MAND_OC_15,12/2/2015,8,201512,4.6,389657.6777,8702619.839,4010.1924,EJE,2,3,0,2,0,0
10103049458,MAND_OC_15,12/18/2015,8,201512,4.9,389310.1005,8702172.679,3842.7659,EJE,2,3,0,2,0,0
10103049520,MAND_OC_15,12/11/2015,8,201512,6.5,389346.782,8702232.914,3822.753,EJE,2,3,0,2,0,0
10103049618,MAND_OC_15,12/12/2015,8,201512,4.7,389115.1,8701603.98,4490.641,EJE,2,3,0,2,0,0
10103049775,MAND_OC_15,12/29/2015,8,201512,5,389182.205,8702007.868,3837.925,EJE,2,3,0,2,0,0
10103049965,MAND_OC_15,12/23/2015,8,201512,4.8,389037.8658,8701866.793,4180.9952,EJE,2,3,0,2,0,0
10103050601,MAND_OC_16,1/12/2016,8,201601,4.1,389143.29,8701606.98,4491.151,EJE,2,3,0,2,0,0
10103050631,MAND_OC_16,1/13/2016,8,201601,6.3,389117.38,8701942.504,3838.52,EJE,2,3,0,2,0,0
10103050884,MAND_OC_16,1/21/2016,8,201601,4.4,389640.976,8702595.955,4004.6892,EJE,2,3,0,2,0,0
10103051257,MAND_OC_16,2/12/2016,8,201602,4.8,389212.507,8702046.609,3818.264,EJE,2,3,0,2,0,0
10103051283,MAND_OC_16,2/13/2016,8,201602,4.8,388812.878,8701492.947,4138.58,EJE,2,3,0,2,0,0
10103051322,MAND_OC_16,2/4/2016,8,201602,3.5,388880.671,8701592.984,4146.045,EJE,2,3,0,2,0,0
10103051771,MAND_OC_16,2/22/2016,8,201602,4,389297.322,8702160.189,3817.954,EJE,2,3,0,2,0,0
10103052055,MAND_OC_16,2/16/2016,8,201602,4.3,388879.957,8701595.159,4492.171,EJE,4,3,0,2,0,0
10103052295,MAND_OC_16,2/23/2016,8,201602,3.7,389503.7113,8702381.065,3835.326,EJE,4,3,0,2,0,0
10103052573,MAND_OC_16,2/26/2016,8,201602,4.8,389182.63,8702008.254,3834.309,EJE,2,3,0,2,0,0
10103052994,MAND_OC_16,3/19/2016,8,201603,5.95,389253.9137,8702100.46,3838.3643,EJE,2,3,0,2,0,0
10103053037,MAND_OC_16,3/11/2016,8,201603,4.1,390139.497,8703196.056,4691.772,EJE,2,3,0,2,0,0
180839a,MAND_OC_08,10/20/2008,8,200810,2.35,388905.405,8701539.879,4715.658,EJE,2,3,0,2,0,0
181619a,MAND_OC_08,10/28/2008,8,200810,5.6,389612.8185,8702563.565,4156.817,EJE,2,3,0,2,0,0
182055,MAND_OC_08,12/3/2008,8,200812,1.2,388957.6785,8701791.585,4115.057,EJE,2,3,0,1,0,0
18210109461,MAND_OC_99,9/1/1999,8,199909,3.6,389151.6206,8701961.277,4122.109564,EJE,2,5,0,2,0,0
18210109500,MAND_OC_99,9/1/1999,8,199909,2.7,389495.8922,8702377.687,4075.401078,EJE,2,5,0,2,0,0
18210109701,MAND_OC_99,9/1/1999,8,199909,1.8,389229.9476,8702039.241,4096.050098,EJE,2,5,0,2,0,0
18210109706,MAND_OC_99,9/1/1999,8,199909,6.4,389534.9311,8702421.193,4201.200973,EJE,2,5,0,2,0,0
18210606104,MAND_OC_99,1/1/1999,8,199901,0.7,389822.2801,8702795.398,4343.718962,EJE,2,5,0,2,0,0
182582a,MAND_OC_08,11/5/2008,8,200811,5.7,389728.0619,8702679.402,4236.087,EJE,2,3,0,2,0,0
182752b,MAND_OC_08,11/14/2008,8,200811,7.05,389314.44,8702148.99,4014.507,EJE,2,3,0,2,0,0
182807a,MAND_OC_08,11/19/2008,8,200811,2.4,389834.8801,8702823.233,4221.967,EJE,2,3,0,2,0,0
182821a,MAND_OC_08,11/20/2008,8,200811,3.6,389002.271,8701835.139,4124.467,EJE,2,3,0,2,0,0
182967a,MAND_OC_08,12/1/2008,8,200812,7.35,389366.525,8702224.569,4013.297,EJE,2,3,0,2,0,0
183632a,MAND_OC_09,1/23/2009,8,200901,9.9,389384.2854,8702245.359,4008.747,EJE,2,3,0,1,0,0
183636a,MAND_OC_09,1/23/2009,8,200901,4.85,389211.2032,8702029.577,4064.347,EJE,2,3,0,1,0,0
183758a,MAND_OC_09,1/30/2009,8,200901,5,389679.949,8702621.953,4231.087,EJE,2,3,0,1,0,0
183946a,MAND_OC_09,3/21/2009,8,200903,4.9,389044.3439,8701873.917,4092.217,EJE,2,3,0,1,0,0
184174a,MAND_OC_09,2/17/2009,8,200902,1.2,389265.602,8701659.494,4473.885,EJE,2,3,0,1,0,0
184653a,MAND_OC_09,2/21/2009,8,200902,4.5,389576.529,8702518.188,4137.447,EJE,2,3,0,2,0,0
184667,MAND_OC_09,2/24/2009,8,200902,1.4,388873.9057,8701736.168,4101.947,EJE,1,3,0,2,0,0
184783a,MAND_OC_09,3/5/2009,8,200903,4.1,389768.932,8702736.454,4228.627,EJE,2,3,0,1,0,0
185044a,MAND_OC_09,4/14/2009,8,200904,4.6,389455.335,8702330.787,4000.047,EJE,2,3,0,1,0,0
185193a,MAND_OC_09,5/6/2009,8,200905,4.5,389655.2032,8702604.183,4078.367,EJE,2,3,0,1,0,0
185247a,MAND_OC_09,5/12/2009,8,200905,3.9,389482.2227,8702541.379,4073.414,EJE,2,3,0,1,0,0
185307a,MAND_OC_09,5/15/2009,8,200905,1.25,389523.504,8702594.457,4072.999,EJE,2,3,0,1,0,0
185367a,MAND_OC_09,5/22/2009,8,200905,2.3,389814.9428,8702797.609,4230.567,EJE,2,3,0,1,0,0
185396,MAND_OC_09,5/25/2009,8,200905,0.95,389602.57,8702651.465,4090.239,EJE,2,3,0,1,0,0
185514a,MAND_OC_09,4/23/2009,8,200904,4.3,389848.8699,8702836.223,4226.317,EJE,2,3,0,1,0,0
185917a,MAND_OC_09,6/4/2009,8,200906,2.15,389620.0227,8702662.597,4090.753,EJE,2,3,0,1,0,0
185928a,MAND_OC_09,6/5/2009,8,200906,2.7,389886.624,8702868.054,4354.317,EJE,2,3,0,1,0,0
186008a,MAND_OC_09,4/29/2009,8,200904,3.6,389178.4447,8701624.055,4474.012,EJE,2,3,0,1,0,0
186268a,MAND_OC_09,6/19/2009,8,200906,8.7,389313.6418,8702148.283,3995.857,EJE,2,3,0,1,0,0
186733a,MAND_OC_09,9/4/2009,8,200909,2.1,389513.26,8702588.453,4055.683,EJE,2,3,0,1,0,0
186771a,MAND_OC_09,9/10/2009,8,200909,2.4,389947.0976,8702950.757,4229.247,EJE,2,3,0,1,0,0
186890a,MAND_OC_09,9/28/2009,8,200909,2.4,389816.142,8702792.31,4357.667,EJE,2,3,0,1,0,0
187186a,MAND_OC_09,7/7/2009,8,200907,3.6,389406.5392,8702410.426,4091.696,EJE,2,3,0,1,0,0
187298a,MAND_OC_09,7/15/2009,8,200907,5.8,389922.8913,8702918.678,4297.158,EJE,2,3,0,1,0,0
187495a,MAND_OC_09,7/31/2009,8,200907,9,389617.6146,8702570.744,4140.467,EJE,2,3,0,1,0,0
187567a,MAND_OC_09,7/27/2009,8,200907,1.7,389298.45,8701550.959,4720.275,EJE,,3,0,1,0,0
187604a,MAND_OC_09,8/3/2009,8,200908,2.4,389083.672,8701483.64,4737.006,EJE,2,3,0,1,0,0
187877a,MAND_OC_09,9/15/2009,8,200909,2.8,389224.842,8701524.193,4738.92,EJE,2,3,0,1,0,0
188006a,MAND_OC_09,8/1/2009,8,200908,11.9,389621.5429,8702573.188,4139.444,EJE,2,3,0,1,0,0
188161a,MAND_OC_09,8/21/2009,8,200908,3.3,389920.8748,8702923.375,4229.903,EJE,2,3,0,1,0,0
188222a,MAND_OC_09,8/25/2009,8,200908,4.9,389762.0034,8702727.697,4219.687,EJE,2,3,0,1,0,0
188233a,MAND_OC_09,8/26/2009,8,200908,3.3,389864.883,8702855.65,4228.697,EJE,2,3,0,1,0,0
188328a,MAND_OC_09,9/4/2009,8,200909,4.2,389009.398,8701844.031,4086.397,EJE,2,3,0,1,0,0
188403a,MAND_OC_09,9/12/2009,8,200909,3.05,389662.8699,8702615.189,4077.167,EJE,2,3,0,1,0,0
188417a,MAND_OC_09,9/15/2009,8,200909,6.3,389053.6509,8701881.679,4086.397,EJE,2,3,0,1,0,0
189011a,MAND_OC_09,9/29/2009,8,200909,7.3,389453.531,8702329.717,3989.517,EJE,2,3,0,1,0,0
189318a,MAND_OC_09,11/5/2009,8,200911,7.1,389017.1016,8701850.832,4082.017,EJE,2,3,0,1,0,0
10103038210,MAND_OC_15,3/5/2015,8,201503,4,389402.964,8702302.825,3833.068,EJE,2,3,0,1,0,0
10103038219,MAND_OC_15,3/6/2015,8,201503,3.8,389583.596,8702659.536,4042.394,EJE,2,3,0,1,0,0
10103038708,MAND_OC_15,3/14/2015,8,201503,5.1,389567.806,8702478.327,3919.312,EJE,2,3,0,1,0,0
10103038780,MAND_OC_15,3/18/2015,8,201503,3.7,389539.616,8702441.525,3920.422,EJE,2,3,0,2,0,0
10103039046,MAND_OC_15,3/22/2015,8,201503,4.7,389549.151,8702432.026,3871.982,EJE,2,3,0,1,0,0
10103039197,MAND_OC_15,3/28/2015,8,201503,5.9,389057.378,8701883.999,3923.016,EJE,2,3,0,1,0,0
10103039419,MAND_OC_15,3/30/2015,8,201503,5.7,388879.11,8701599.793,4119.33,EJE,2,3,0,1,0,0
10103040101,MAND_OC_15,4/10/2015,8,201504,3.4,389517.523,8702422.961,4024.704,EJE,2,3,0,1,0,0
10103040306,MAND_OC_15,4/23/2015,8,201504,12,389609.584,8702546.341,4023.949,EJE,2,3,0,1,0,0
10103040503,MAND_OC_15,4/16/2015,8,201504,4.8,389344.968,8702210.454,3872.367,EJE,2,3,0,1,0,0
10103040862,MAND_OC_15,4/29/2015,8,201504,11.6,389625.778,8702566.921,4024.427,EJE,2,3,0,2,0,0
10103040901,MAND_OC_15,5/4/2015,8,201505,6.4,389230.162,8702072.101,3830.42,EJE,2,3,0,2,0,0
10103041334,MAND_OC_15,6/7/2015,8,201506,6.3,389478.55,8702378.43,3854.73,EJE,2,3,0,2,0,0
10103041386,MAND_OC_15,6/10/2015,8,201506,4.8,389429.12,8702331.99,3854.3,EJE,2,3,0,2,0,0
10103041505,MAND_OC_15,5/28/2015,8,201505,4.2,390013.4,8702995.998,4635.244,EJE,2,3,0,2,0,0
10103041795,MAND_OC_15,6/5/2015,8,201506,3.7,389902.6,8702923.26,4135.63,EJE,2,3,0,2,0,0
10103041944,MAND_OC_15,5/31/2015,8,201505,6.6,389447.177,8702351.578,3853.929417,EJE,2,3,0,2,0,0
10103042149,MAND_OC_15,6/6/2015,8,201506,4.8,389237.72,8702076.2,3852.87,EJE,2,3,0,2,0,0
10103042323,MAND_OC_15,6/20/2015,8,201506,4.3,389138.835,8701963.723,3852.542,EJE,2,3,0,2,0,0
10103042509,MAND_OC_15,6/11/2015,8,201506,8.2,389440.23,8702131.37,3812.64,EJE,3,3,0,2,0,0
10103042947,MAND_OC_15,7/14/2015,8,201507,4,389816.62,8702822.77,4138.49,EJE,2,3,0,2,0,0
10103043368,MAND_OC_15,7/8/2015,8,201507,4.7,389335.39,8702220.14,3831.62,EJE,2,3,0,2,0,0
10103043424,MAND_OC_15,7/18/2015,8,201507,4.7,389439.769,8702343.202,3849.3,EJE,2,3,0,2,0,0
10103043622,MAND_OC_15,7/13/2015,8,201507,4,389338.68,8702227.1,3831.55,EJE,2,3,0,2,0,0
10103043991,MAND_OC_15,8/8/2015,8,201508,3.5,389010.77,8701572.42,4478.852,EJE,2,3,0,2,0,0
10103044000,MAND_OC_15,8/8/2015,8,201508,0.9,389432.8351,8702334.607,3848.959166,EJE,2,3,0,2,0,0
10103044197,MAND_OC_15,8/10/2015,8,201508,4.6,389038.077,8701851.237,4171.476,EJE,2,3,0,2,0,0
10103044270,MAND_OC_15,8/2/2015,8,201508,4.1,389095.286,8701598.826,4478.469,EJE,2,3,0,2,0,0
10103044429,MAND_OC_15,8/16/2015,8,201508,3.3,389013.65,8701831.29,4172.17,EJE,2,3,0,2,0,0
10103044562,MAND_OC_15,8/9/2015,8,201508,2.7,389037.06,8701850.68,4171.93,EJE,2,3,0,2,0,0
10103044906,MAND_OC_15,8/17/2015,8,201508,3.7,389048.826,8701863.538,4171.542,EJE,2,3,0,2,0,0
10103045341,MAND_OC_15,9/1/2015,8,201509,3.9,389278.77,8702133.67,3826.46,EJE,2,3,0,2,0,0
10103045403,MAND_OC_15,9/10/2015,8,201509,4.9,389300.19,8702158.73,3848.11,EJE,2,3,0,2,0,0
10103045788,MAND_OC_15,9/19/2015,8,201509,3.4,390080.787,8703109.907,4664.184,EJE,2,3,0,2,0,0
10103046230,MAND_OC_15,9/21/2015,8,201509,4,389050.563,8701865.831,4174.504,EJE,2,3,0,2,0,0
10103046240,MAND_OC_15,9/22/2015,8,201509,4.7,389317.521,8702188.502,3827.48,EJE,2,3,0,2,0,0
10103046319,MAND_OC_15,9/26/2015,8,201509,4.7,390072.124,8703090.854,4664.534,EJE,2,3,0,2,0,0
10103046393,MAND_OC_15,10/1/2015,8,201510,4.2,390068.298,8703082.456,4664.589,EJE,2,3,0,2,0,0
10103046580,MAND_OC_15,10/16/2015,8,201510,3.2,389339.663,8702222.198,3847.965,EJE,2,3,0,2,0,0
10103046750,MAND_OC_15,9/30/2015,8,201509,4.1,388839.177,8701536.158,4129.932,EJE,2,3,0,2,0,0
10103046970,MAND_OC_15,10/22/2015,8,201510,4.8,389354.984,8702234.072,3849.154,EJE,2,3,0,2,0,0
10103047190,MAND_OC_15,10/19/2015,8,201510,3.8,389038.884,8701869.713,4177.014,EJE,2,3,0,2,0,0
10103047637,MAND_OC_15,10/26/2015,8,201510,4,389446.395,8702347.053,3832.879,EJE,2,3,0,2,0,0
10103047748,MAND_OC_15,11/7/2015,8,201511,2.7,389546.235,8702465.965,4008.965,EJE,2,3,0,2,0,0
10103048130,MAND_OC_15,11/7/2015,8,201511,3.6,388948.151,8701661.126,4479.57,EJE,2,3,0,2,0,0
10103048620,MAND_OC_15,11/15/2015,8,201511,4.5,389296.563,8702157.236,3822.808,EJE,2,3,0,2,0,0
10103049561,MAND_OC_15,12/13/2015,8,201512,5.2,389298.729,8702156.899,3843.388,EJE,2,3,0,2,0,0
10103049639,MAND_OC_15,12/13/2015,8,201512,3.8,388819.323,8701501.836,4133.529,EJE,2,3,0,2,0,0
10103049712,MAND_OC_15,12/16/2015,8,201512,6.2,389416.291,8702314.094,3841.843,EJE,2,3,0,2,0,0
10103046766,MAND_OC_15,9/30/2015,8,201509,5,389327.825,8702196.435,3847.61,EJE,2,3,0,2,0,0
